,source_sentence,target_sentence,similarity,baseline,similarity,proposal,similarity
18, [CLS] an old man with a package poses in front of an advertisement . [SEP], a man poses in front of an ad . [SEP],0.9039403200149536, an old man is a a . [SEP],0.6182337999343872, an old man is a a . [SEP],0.6182337999343872
19, [CLS] a statue at a museum that no seems to be looking at . [SEP], there is a statue that not many people seem to be interested in . [SEP],0.8323590159416199, a statue is a a . [SEP],0.6747969388961792, a statue is at a . [SEP],0.6737442016601562
20, [CLS] a young family enjoys feeling ocean waves lap at their feet . [SEP], a family is at the beach . [SEP],0.7349065542221069, a family is on the beach . [SEP],0.7443979978561401, a family is in the water . [SEP],0.7248773574829102
21, [CLS] a man reads the paper in a bar with green lighting . [SEP], the man is inside . [SEP],0.7280287742614746, a man is reading a paper . [SEP],0.8524774312973022, a man is reading a paper . [SEP],0.8524774312973022
22, [CLS] male in a blue jacket decides to lay in the grass . [SEP], the guy wearing a blue jacket is laying on the green grass [SEP],0.903552770614624, a man is outside . [SEP],0.7496585249900818, a man is outside . [SEP],0.7496585249900818
23, [CLS] people jump over a mountain cr ##eva ##sse on a rope . [SEP], people are jumping outside . [SEP],0.6867936253547668, people are over a mountain . [SEP],0.7249871492385864, people are jumping a a hill . [SEP],0.7281912565231323
24, [CLS] a land rover is being driven across a river . [SEP], a land rover is splash ##ing water as it crosses a river . [SEP],0.8840838670730591, a person is is on a river . [SEP],0.7213147878646851, a helicopter is being pulled across the river . [SEP],0.826080322265625
25, [CLS] a land rover is being driven across a river . [SEP], a vehicle is crossing a river . [SEP],0.8070085644721985, a person is is on a river . [SEP],0.7213147878646851, a helicopter is being pulled across the river . [SEP],0.826080322265625
26, [CLS] a couple walk hand in hand down a street . [SEP], a couple is walking together . [SEP],0.7502278685569763, a couple is walking down . [SEP],0.7114665508270264, a couple is walking . [SEP],0.7248895764350891
27, [CLS] a snow ##board ##er on a wide plain of snow [SEP], a snow field with a snow ##board ##er on it [SEP],0.8411049246788025, a snow ##board ##er is on a snow . [SEP],0.8538703322410583, a snow ##board ##er is on a snow . [SEP],0.8538703322410583
28, [CLS] a man in a black shirt overlooking bike maintenance . [SEP], a man watches bike repairs . [SEP],0.7406525015830994, a man is wearing a shirt . [SEP],0.7895401120185852, a man is wearing a bike . [SEP],0.824360191822052
29, [CLS] a man playing an electric guitar on stage . [SEP], a man playing guitar on stage . [SEP],0.9454860687255859, a man is playing an instrument . [SEP],0.8448297381401062, a man is playing an instrument . [SEP],0.8448297381401062
30, [CLS] three fire ##fighter come out of subway station . [SEP], three firefighters coming up from a subway station . [SEP],0.7378822565078735, three are are in the subway station . [SEP],0.636605441570282, there are people in the subway station . [SEP],0.799497127532959
31, [CLS] an older women tending to a garden . [SEP], the lady has a garden [SEP],0.6422755718231201, a woman is planting . garden . [SEP],0.721373975276947, an old woman is outside . [SEP],0.662919819355011
32," [CLS] three men , one holding pipes , another holding a large object above his head , and one resting against the pipe bed on the truck , are looking at the camera . [SEP]", three men look at the camera [SEP],0.7037640810012817, three men are on a bed . [SEP],0.759607195854187, three men are holding a . [SEP],0.7580236196517944
33, [CLS] many people standing outside of a place talking to each other in front of a building that has a sign that says ` ` hi - pointe . ' ' [SEP], the group of people are n ' t in ##ide of the building . [SEP],0.737800121307373, a group of people are outside . [SEP],0.7319892644882202, people are outside outside . [SEP],0.6169662475585938
34, [CLS] a professional swimmer spit ##s water out after surf ##acing while grabbing the hand of someone helping him back to land . [SEP], a person is swimming . [SEP],0.6953827738761902, a swimmer is swimming . [SEP],0.6633905172348022, a swimmer is in the water . [SEP],0.7588211297988892
35, [CLS] a ford car is making a right turn as 3 males are walking across the street behind the car . [SEP], a car making a right turn had three pedestrians cross behind it . [SEP],0.8539881706237793, a car is going to the . [SEP],0.7044089436531067, a car is being a . [SEP],0.6957347393035889
36, [CLS] 2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other . [SEP], two kids were hugging . [SEP],0.7129835486412048, two kids are hanging out . [SEP],0.6967778205871582, the kids are looking . [SEP],0.7071077823638916
37, [CLS] a crowd of people looking up at 3 people on the edge of the roof of a building . [SEP], the crowd on the ground is watching 3 people on the roof ' s edge . [SEP],0.87518310546875, a crowd of people are looking at a . [SEP],0.8317841291427612, a group of people are looking at a building . [SEP],0.8908277153968811
38," [CLS] bruce springsteen , with one arm outstretched , is singing in the spotlight in a dark concert hall . [SEP]", bruce springsteen is a singer . [SEP],0.6661379337310791, a is is singing in a [SEP],0.6680958867073059, a are playing music . [SEP],0.6356285214424133
39, [CLS] a large number of people wearing only white and red are walking on a street . [SEP], a large number of people walking on a street . [SEP],0.851918637752533, a large group of people are walking . [SEP],0.8557912707328796, a large of people are walking . [SEP],0.8018653392791748
40, [CLS] a man of the cloth puts a black substance on a man ' s forehead . [SEP], the man puts something on the other mans head . [SEP],0.809026837348938, a man is a a man . [SEP],0.7094548344612122, a man is a a . [SEP],0.64304119348526
41, [CLS] a boy holding onto the wall of an old brick house ' s raised foundation . [SEP], a boy is against the wall of a raised foundation [SEP],0.8370225429534912, a boy is holding a . [SEP],0.6731534600257874, a boy is holding a . [SEP],0.6731534600257874
42, [CLS] a couple is eating outside at a table and he is pointing at something . [SEP], people are eating at a table outside . [SEP],0.8451695442199707, a couple is eating . [SEP],0.7122747898101807, a couple is eating . [SEP],0.7122747898101807
43, [CLS] two women walk down a sidewalk along a busy street in a downtown area . [SEP], the women were walking downtown [SEP],0.7095803022384644, two women are walking down a busy street . [SEP],0.89933842420578, two women are walking down a sidewalk . [SEP],0.8735007643699646
44, [CLS] a man wearing a red uniform and helmet stands on his motor ##bi ##ke . [SEP], a person standing . [SEP],0.5961605906486511, a man is on a motorcycle . [SEP],0.8179581761360168, a man is on a motor ##bi ##ke . [SEP],0.8519930839538574
45, [CLS] a man wearing a red uniform and helmet stands on his motor ##bi ##ke . [SEP], a man standing on his motor ##bi ##ke . [SEP],0.8634044528007507, a man is on a motorcycle . [SEP],0.8179581761360168, a man is on a motor ##bi ##ke . [SEP],0.8519930839538574
46, [CLS] three boys in white shirts are walking behind an older model ford car . [SEP], there are three boys [SEP],0.557379961013794, three boys are walking . [SEP],0.7502155303955078, there are three boys in . [SEP],0.6305710673332214
47, [CLS] three boys in white shirts are walking behind an older model ford car . [SEP], the boys are on the street [SEP],0.7158589363098145, three boys are walking . [SEP],0.7502155303955078, there are three boys in . [SEP],0.6305710673332214
48, [CLS] three girls blow out the candles of a cake made of pee ##ps . [SEP], some people are blowing out candles [SEP],0.8097956776618958, three girls are celebrating . [SEP],0.7556180953979492, the girls are inside . [SEP],0.7333295345306396
49, [CLS] three girls blow out the candles of a cake made of pee ##ps . [SEP], there are three girls and a cake [SEP],0.7422285079956055, three girls are celebrating . [SEP],0.7556180953979492, the girls are inside . [SEP],0.7333295345306396
50," [CLS] women of india performing with blue stream ##ers , in beautiful blue costumes . [SEP]", indian women perform together in gorgeous costumes [SEP],0.8247151970863342, women are women are wearing blue . [SEP],0.8100526928901672, women are in a blue . [SEP],0.678993284702301
51, [CLS] the man in the black wet ##suit is walking out of the water . [SEP], a person is walking out of water . [SEP],0.7302066087722778, a man is walking . [SEP],0.7367429733276367, a man is walking . [SEP],0.7367429733276367
52, [CLS] people are con ##vers ##ing at a dining table under a canopy . [SEP], people are talking underneath a covering . [SEP],0.7126300930976868, people are talking at a table . [SEP],0.8200505971908569, people are talking at a table . [SEP],0.8200505971908569
53," [CLS] two children , both wearing tan coats , are embracing one another . [SEP]", two kids are hugging . [SEP],0.7322461009025574, two children are wearing . [SEP],0.7321088910102844, two children are wearing coats . [SEP],0.8446671962738037
54, [CLS] a woman is painting a mural of a woman ' s face . [SEP], there is a woman painting . [SEP],0.8048478960990906, a woman paints a mural . [SEP],0.8552885055541992, a woman is painting a painting . [SEP],0.8868868947029114
55, [CLS] a person rolls down a hill riding a wagon as another watches . [SEP], two people are outside . [SEP],0.6674092411994934, a person is riding a a . [SEP],0.6858062148094177, a person is on a hill . [SEP],0.8018367886543274
56, [CLS] a dog jumping for a fr ##is ##bee in the snow . [SEP]," an animal is outside in the cold weather , playing with a plastic toy . [SEP]",0.7848378419876099, a dog is outside . [SEP],0.6323984861373901, a dog is outside . [SEP],0.6323984861373901
57, [CLS] a girl playing a violin along with a group of people [SEP], a girl is playing an instrument . [SEP],0.8291749358177185, a girl is playing a . [SEP],0.7070710062980652, a girl is playing a . [SEP],0.7070710062980652
58, [CLS] two teenage girls con ##vers ##ing next to locker ##s . [SEP], people talking next to locker ##s . [SEP],0.8915197253227234, two girls are talking to each other . [SEP],0.8237904906272888, two girls are talking to each other . [SEP],0.8237904906272888
59, [CLS] five girls and two guys are crossing a over ##pass . [SEP], there are people outside . [SEP],0.7290480732917786, a group of people are crossing a bridge . [SEP],0.8556874990463257, five people are crossing a . [SEP],0.6951046586036682
60, [CLS] a woman within an orchestra is playing a violin . [SEP], a woman is playing the violin . [SEP],0.851686418056488, a woman is playing an instrument . [SEP],0.8554865717887878, a woman is playing an instrument . [SEP],0.8554865717887878
61, [CLS] a guy riding a motorcycle near junk cars [SEP], a man is riding a motorcycle . [SEP],0.8362652063369751, a man is riding a motorcycle . [SEP],0.8362652063369751, a man is riding a motorcycle . [SEP],0.8362652063369751
62, [CLS] the girls walk down the street . [SEP], girls walk down the street . [SEP],0.7822391390800476, the girls are walking . [SEP],0.8033737540245056, the girls are outside . [SEP],0.8030440807342529
63, [CLS] a woman working long hours . [SEP], a woman is working . [SEP],0.78150475025177, a woman is working . [SEP],0.78150475025177, a woman is working . [SEP],0.78150475025177
64," [CLS] an old man in a baseball hat and an old woman in a jean jacket are standing outside , but are covered mostly in shadow . [SEP]", an old woman has a jean jacket . [SEP],0.7667330503463745, an old man is wearing a hat . [SEP],0.7878543138504028, an old man and woman are outside . [SEP],0.7663108706474304
65, [CLS] a young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air . [SEP], a young boy is playing in a fei ##ld . [SEP],0.7478322982788086, a young boy is in a field . [SEP],0.7617055177688599, a boy is in the air . [SEP],0.6918717622756958
66, [CLS] a man wearing a gray ball cap walks next to a redhead ##ed woman wearing a long - sleeve ##d blue jean shirt . [SEP], the man is wearing a gray cap . [SEP],0.7447468638420105, a man is wearing a woman . [SEP],0.6600817441940308, a man and woman are walking . [SEP],0.6324767470359802
67, [CLS] a frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons . [SEP], a group of people are standing outside . [SEP],0.7524588704109192, a man is a a crowd . [SEP],0.6074670553207397, a man is a a . [SEP],0.5213599801063538
68, [CLS] a black man in a long sleeves white collar ##ed shirt and a tie is walking to work in a big city . [SEP], the man is moving . [SEP],0.6072595119476318, a man is walking . [SEP],0.6745587587356567, a man is walking in a city . [SEP],0.7598520517349243
69, [CLS] a black man in a long sleeves white collar ##ed shirt and a tie is walking to work in a big city . [SEP], the man is wearing work attire and is walking to his job . [SEP],0.8158915042877197, a man is walking . [SEP],0.6745587587356567, a man is walking in a city . [SEP],0.7598520517349243
70, [CLS] six or seven people are standing on a pier with a table and a pair of glasses in the fore ##ground . [SEP], six or seven people are standing on a pier . [SEP],0.8304454684257507, six people are standing on a pier . [SEP],0.7942771911621094, six people are standing on a pier . [SEP],0.7942771911621094
71, [CLS] a black man in a white uniform makes a spectacular reverse slam dun ##k to the crowd ' s amazement . [SEP], the man is playing [SEP],0.6404072642326355, a man is a a . [SEP],0.5304844975471497, a man is a white . [SEP],0.6463567614555359
72, [CLS] a basketball player with green shoes is dun ##king the ball in the net while the arena crowd looks on . [SEP], a crowd is watching someone play basketball . [SEP],0.763049304485321, a basketball player is in the . [SEP],0.601280689239502, a basketball player is playing a ball . [SEP],0.7995826601982117
73, [CLS] a man and woman are taking a picture of themselves while a woman in a scarf walks by them . [SEP], a man and woman take self ##ies of themselves . [SEP],0.7924885153770447, a man is taking a picture . [SEP],0.8068077564239502, a man and woman are taking a picture . [SEP],0.8823186159133911
74, [CLS] a woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag . [SEP], a woman on a bike . [SEP],0.8230855464935303, a woman is riding a bike . [SEP],0.8347342014312744, a woman is riding a bike . [SEP],0.8347342014312744
75, [CLS] a group of adults stands in the bathroom looking down a small child in the bath . [SEP], people are in the house . [SEP],0.6143072247505188, a group of people are in a a small child . [SEP],0.7501184940338135, a group of people are in the . [SEP],0.6447493433952332
76," [CLS] a man , woman , and child get their picture taken in front of the mountains . [SEP]", a family on vacation is posing . [SEP],0.8078778982162476, a man and a woman are posing in front of a mountain . [SEP],0.8697375059127808, a man and woman are outside . [SEP],0.8218814730644226
77," [CLS] a man , woman , and child get their picture taken in front of the mountains . [SEP]", people are outdoors . [SEP],0.6017304062843323, a man and a woman are posing in front of a mountain . [SEP],0.8697375059127808, a man and woman are outside . [SEP],0.8218814730644226
78, [CLS] a boy in a red hooded top is smiling whilst looking away from his reflection . [SEP], a boy in a red hood is happy . [SEP],0.7883822917938232, a boy is wearing a red . [SEP],0.7855275273323059, a boy is wearing a red . [SEP],0.7855275273323059
79, [CLS] a girl in a blue dress takes off her shoes and eats blue cotton candy . [SEP], the girl is eating while barefoot . [SEP],0.7411743998527527, a girl is eating candy . [SEP],0.7980372309684753, a girl is wearing a blue dress . [SEP],0.8261100053787231
80, [CLS] an older man leans against a pedestal outside of an ornate building . [SEP], an older man leans outside a building [SEP],0.8574075102806091, an older man is leaning against a building . [SEP],0.8754311800003052, a man is outside . [SEP],0.6793695092201233
81, [CLS] a person in a red shirt and black pants hunched over . [SEP], a person wears a red shirt . [SEP],0.7566194534301758, a person is wearing a red shirt . [SEP],0.7661822438240051, a person is wearing a . [SEP],0.6302021741867065
82, [CLS] the tattooed basketball player is about to dun ##k the ball . [SEP], the person is playing basketball . [SEP],0.7374411225318909, a basketball player is to score the ball . [SEP],0.753096878528595, the basketball player is playing basketball . [SEP],0.6385877728462219
83, [CLS] the girl wearing a brown jacket whilst walking in snow . [SEP], the girl is walking outside . [SEP],0.6873184442520142, a girl is walking . [SEP],0.6935131549835205, a girl is walking . [SEP],0.6935131549835205
84, [CLS] people are standing near water with a boat heading their direction [SEP], the people are standing . [SEP],0.7458773255348206, people are standing near water . [SEP],0.827166736125946, people are near a boat . [SEP],0.809069812297821
85, [CLS] a person in orange clothing rests above a metro entrance . [SEP], someone is standing near a metro station . [SEP],0.8077642321586609, a person is a a . [SEP],0.6060786843299866, a person is wearing a . [SEP],0.7004765868186951
86, [CLS] two men climbing on a wooden sc ##af ##fold . [SEP], two people climbing on a wooden sc ##af ##fold . [SEP],0.9616538286209106, two men are climbing a [SEP],0.7886402606964111, two men are climbing a ##af ##fold ##fold . [SEP],0.8793198466300964
87, [CLS] a newly ##wed couple laughing and talking amongst themselves . [SEP], the couple is having fun . [SEP],0.6465930342674255, a couple couple is having a conversation . [SEP],0.7470636367797852, a couple couple couple are laughing . [SEP],0.6910355091094971
88, [CLS] a newly ##wed couple laughing and talking amongst themselves . [SEP], the couple just got married . [SEP],0.6026000380516052, a couple couple is having a conversation . [SEP],0.7470636367797852, a couple couple couple are laughing . [SEP],0.6910355091094971
89, [CLS] four adults eat while sitting on a tile floor . [SEP], a group of people eat food . [SEP],0.7904795408248901, four people are sitting on a floor . [SEP],0.8216557502746582, four adults are sitting on a floor . [SEP],0.8773561120033264
90, [CLS] men wearing blue uniforms sit on a bus . [SEP], men sit on the bus . [SEP],0.7597233057022095, men are on a bus . [SEP],0.7534433007240295, men are on a bus . [SEP],0.7534433007240295
91, [CLS] a goofy looking woman is singing on stage . [SEP], a woman is singing . [SEP],0.8233007192611694, a woman is singing . [SEP],0.8233007192611694, a woman is singing . [SEP],0.8233007192611694
92, [CLS] a dog standing near snow looking at water . [SEP], animal is outdoors . [SEP],0.6182959079742432, a dog is outside . [SEP],0.7408297657966614, a dog is outside . [SEP],0.7408297657966614
93, [CLS] this child is on the library steps . [SEP], the child is on the steps . [SEP],0.8579487800598145, a child is on the steps . [SEP],0.8507565855979919, a child is on the steps . [SEP],0.8507565855979919
94, [CLS] six dogs swimming in a river . [SEP], six dogs are outdoors . [SEP],0.6074389219284058, there are dogs in . [SEP],0.629982054233551, there are dogs in the water . [SEP],0.8112223148345947
95, [CLS] a group of people dancing together . [SEP], people are dancing . [SEP],0.7014535069465637, a group of people are dancing . [SEP],0.8789141178131104, people are dancing . [SEP],0.7014535069465637
96," [CLS] two college football players battle it out outdoors on the field during game day , where one is the quarterback trying to throw the ball , and the other player is in action about to sack the quarterback . [SEP]", a college football game . [SEP],0.6227418780326843, two football players are playing football . [SEP],0.6243506669998169, two football players are playing football . [SEP],0.6243506669998169
97, [CLS] people are on an es ##cala ##tor waiting to get to their destination while looking outside of the glass that makes up the wall . [SEP], people are riding on the es ##cala ##tor . [SEP],0.803017795085907, people are on an es ##cala ##tor . [SEP],0.7671435475349426, people are on an es ##cala ##tor . [SEP],0.7671435475349426
98, [CLS] a guy wearing jeans and a hat is crouch ##ing on a hand ##rail with a concrete embankment located in front of him . [SEP], a man is crouch ##ing on a hand ##rail . [SEP],0.8520511984825134, a guy is a a . [SEP],0.5785622000694275, a guy is crouch ##ing . [SEP],0.7105741500854492
99," [CLS] a man in a black shirt , in a commercial kitchen , holding up meat he took out of a bag . [SEP]"," a man in a shirt , in a commercial kitchen , holding up meat he took out of a bag . [SEP]",0.977428674697876, a man is a a bag . [SEP],0.6716277599334717, a man is a black shirt is [SEP],0.7137446999549866
100, [CLS] a woman with her face partially covered in silver face paint sits on a plastic to ##te looking in a mirror . [SEP], the woman has something on her face . [SEP],0.7305920124053955, a woman is a face . [SEP],0.6496456861495972, a woman is sitting down . [SEP],0.6968759298324585
101, [CLS] young woman is putting her clothes in the dry ##er portion of a double stacked wash ##er and dry ##er unit . [SEP], a person drying clothes [SEP],0.7361354827880859, a woman is washing laundry . [SEP],0.8179094791412354, a woman is doing laundry . [SEP],0.805500864982605
102, [CLS] two little boys are smiling and laughing while one is standing and one is in a bo ##un ##cy seat . [SEP], there are two little boys smiling . [SEP],0.8103426694869995, two boys are smiling . [SEP],0.7628371119499207, two boys are smiling . [SEP],0.7628371119499207
103, [CLS] two people are playing american football and one of them is trying to stop the other from throwing the ball . [SEP], a game of football is being played . [SEP],0.6083383560180664, two people are playing football . [SEP],0.6773797273635864, two people are playing football . [SEP],0.6773797273635864
104," [CLS] a person with blue hair , a baseball cap , and a hood on stands outdoors in a crowd . [SEP]", a person is standing outdoors . [SEP],0.7117207646369934, a person is a a hat . [SEP],0.6745182275772095, a person is standing outside . [SEP],0.7006223797798157
105," [CLS] a woman , in red and white , and wearing glasses , sits in a room with other people . [SEP]", a woman is sitting in a room with other people . [SEP],0.8519805669784546, a woman is in red and white . [SEP],0.7462891936302185, a woman is sitting in a room . [SEP],0.7748210430145264
106, [CLS] these are young adults who seem to be working together to protect the plants surrounding the white pole . [SEP], the adults are young [SEP],0.5810742378234863, there are people people working . [SEP],0.7060509920120239, the are people working . [SEP],0.7165747284889221
107, [CLS] the american footballer in yellow catches the ball whilst under pressure from the pay ##er in white . [SEP], the football player is under du ##ress . [SEP],0.6772083044052124, a person is playing a game . [SEP],0.689176082611084, the is a a game . [SEP],0.636559784412384
108, [CLS] the american footballer in yellow catches the ball whilst under pressure from the pay ##er in white . [SEP], the american football player in yellow catches the ball while under pressure from the player in white . [SEP],0.9155381917953491, a person is playing a game . [SEP],0.689176082611084, the is a a game . [SEP],0.636559784412384
109, [CLS] a person in a red shirt is mo ##wing the grass with a green riding mo ##wer . [SEP], a person in red is cutting the grass on a riding mo ##wer [SEP],0.910189151763916, a person is a mo ##wer . [SEP],0.7069661021232605, a person is mo ##wing the grass . [SEP],0.8200604915618896
110," [CLS] girl in a red coat , blue head wrap and jeans is making a snow angel . [SEP]", a girl outside plays in the snow . [SEP],0.7539882063865662, a girl is wearing a snow . [SEP],0.8460565805435181, a girl is wearing a coat . [SEP],0.8386416435241699
111, [CLS] everyone on the street in the city seem to be busy doing their own thing . [SEP], people are milling about the city street . [SEP],0.7936544418334961, there are people in the street . [SEP],0.761784017086029, there are people on the street . [SEP],0.7619205117225647
112, [CLS] island native fishermen reeling in their nets after a long day ' s work . [SEP], the men are finishing their day of work . [SEP],0.7966899871826172, the are are working . [SEP],0.6664136052131653, the are are in a . [SEP],0.5643959045410156
113, [CLS] a golden dog passes a blue ball to another golden dog on the beach . [SEP], the golden dog is playing ball with another dog outside . [SEP],0.8798829913139343, a dogs are outside . [SEP],0.6692477464675903, two dogs are outside . [SEP],0.6532846689224243
114," [CLS] there are five singers on a stage , three women and two men . [SEP]", there are more females than males . [SEP],0.6388028860092163, there are five people . [SEP],0.7463046312332153, there are five people on a stage . [SEP],0.845221996307373
115, [CLS] group of people wearing black shirts riding in an open top vehicle . [SEP], a group of people go down the road in a convertible . [SEP],0.8542384505271912, a group of people are riding a vehicle . [SEP],0.8929709196090698, people are in black shirts . [SEP],0.7716673016548157
116, [CLS] a large group of people walking in a busy city at night . [SEP], people are walking a city . [SEP],0.7600237131118774, a group of people are walking . [SEP],0.7639778852462769, a group of people are walking . [SEP],0.7639778852462769
117, [CLS] the sun breaks through the trees as a child rides a swing . [SEP], a child rides a swing in the daytime . [SEP],0.7967672944068909, a child is riding a swing . [SEP],0.8271899223327637, the child is outside . [SEP],0.6335552334785461
118, [CLS] a skate ##boarding youth does a trick on a rail . [SEP], a young person on a skate ##board . [SEP],0.8426692485809326, a skater is skate ##boarding . [SEP],0.7474915981292725, a skate ##board ##er is doing a trick . [SEP],0.8775610327720642
119, [CLS] a man in an alaska sweatshirt stands behind a counter . [SEP], the person behind the counter is a man . [SEP],0.7806735634803772, a man is standing a counter . [SEP],0.7638949155807495, a man is standing . [SEP],0.6682569980621338
120, [CLS] a woman is weaving with a comb in her hand . [SEP], a woman is doing something with her hands . [SEP],0.8114970922470093, a woman is using her . [SEP],0.6251065135002136, a woman is weaving . [SEP],0.8282102346420288
121, [CLS] a boy is riding down the road between two cows . [SEP]," a boy , a road and two cows . [SEP]",0.8051851987838745, a boy is riding a [SEP],0.8068264126777649, a boy is riding a horse . [SEP],0.8774151802062988
122, [CLS] a girl holding a beverage points at a painting . [SEP], the girl has a beverage . [SEP],0.736096203327179, a girl is holding a . [SEP],0.7500702738761902, a girl is holding a . [SEP],0.7500702738761902
123, [CLS] a softball player throws the ball to her teammate . [SEP], two people are playing softball . [SEP],0.6982356309890747, a person is playing a ball . [SEP],0.7454862594604492, a girl throws a ball . [SEP],0.8090788722038269
124, [CLS] a man playing bill ##iard ##s at a bar . [SEP], a man is playing bill ##iard ##s . [SEP],0.8510634303092957, a man is playing a game . [SEP],0.7249758243560791, a man is playing a bar . [SEP],0.8228051066398621
125, [CLS] two men prepare a fish at a dock . [SEP], two men are cleaning their fish [SEP],0.8160600066184998, two men are fishing . [SEP],0.7970083951950073, two men are at a dock . [SEP],0.8975158929824829
126, [CLS] two men are standing in a boat . [SEP], some people are in a boat . [SEP],0.913955807685852, two men are standing . [SEP],0.8108421564102173, two men are in a boat . [SEP],0.9202495217323303
127, [CLS] a biker races . [SEP], a person is riding a bike [SEP],0.7167592644691467, a biker is on a bike . [SEP],0.7670475840568542, a biker is racing . [SEP],0.8132765889167786
128," [CLS] a man is sitting in the green chair , talking on the phone , and working on the laptop , and there is construction site next to his building . [SEP]", a man can is on the phone . [SEP],0.769264817237854, a man is sitting on a [SEP],0.8200547695159912, a man is sitting on a chair . [SEP],0.8299165964126587
